timestamp,uname,src_comp,dst_comp
150885,U620@DOM1,C17693,C1003
151036,U748@DOM1,C17693,C305
151648,U748@DOM1,C17693,C728
151993,U6115@DOM1,C17693,C1173
153792,U636@DOM1,C17693,C294
155219,U748@DOM1,C17693,C5693
155399,U748@DOM1,C17693,C152
155460,U748@DOM1,C17693,C2341
155591,U748@DOM1,C17693,C332
156658,U748@DOM1,C17693,C4280
210086,U748@DOM1,C18025,C1493
210294,U748@DOM1,C18025,C1493
210312,U748@DOM1,C18025,C1493
218418,U748@DOM1,C17693,C504
227052,U748@DOM1,C17693,C148
227408,U748@DOM1,C17693,C148
227520,U748@DOM1,C17693,C148
227780,U748@DOM1,C17693,C148
228024,U748@DOM1,C17693,C148
228150,U748@DOM1,C17693,C148
228642,U1723@DOM1,C17693,C231
228658,U1723@DOM1,C17693,C231
229046,U1723@DOM1,C17693,C231
230395,U1723@DOM1,C17693,C1003
234667,U748@DOM1,C17693,C504
460197,U748@DOM1,C17693,C721
460711,U748@DOM1,C17693,C721
460991,U748@DOM1,C17693,C721
461842,U748@DOM1,C17693,C1567
463374,U748@DOM1,C17693,C1003
464246,U748@DOM1,C17693,C1567
464254,U748@DOM1,C17693,C1567
464260,U748@DOM1,C17693,C1567
464545,U737@DOM1,C19932,C612
466195,U737@DOM1,C19932,C457
467590,U1723@DOM1,C17693,C17600
472248,U1723@DOM1,C17693,C2519
472282,U1723@DOM1,C17693,C2519
473122,U1723@DOM1,C17693,C1275
483455,U1723@DOM1,C17693,C294
483981,U1723@DOM1,C17693,C294
485925,U1723@DOM1,C17693,C294
486443,U636@DOM1,C17693,C294
488034,U1723@DOM1,C17693,C1275
489614,U1723@DOM1,C17693,C1275
491747,U1723@DOM1,C17693,C294
578438,U737@DOM1,C19932,C1065
584551,U825@DOM1,C17693,C2669
584564,U737@DOM1,C19932,C612
635015,U737@DOM1,C19932,C529
725488,U1653@DOM1,C17693,C395
725589,U1653@DOM1,C17693,C2669
725983,U293@DOM1,C17693,C3153
726008,U8946@DOM1,C17693,C1610
726057,U293@DOM1,C17693,C3153
726137,U10379@C3521,C17693,C3521
726203,U293@DOM1,C17693,C3153
726347,U8946@DOM1,C17693,C1124
726387,U293@DOM1,C17693,C3153
726472,U8946@DOM1,C17693,C3199
726973,U293@DOM1,C17693,C3153
726985,U8946@DOM1,C17693,C11727
727060,U8601@DOM1,C17693,C754
727131,U212@DOM1,C17693,C126
727419,U212@DOM1,C17693,C126
727619,U212@DOM1,C17693,C126
727702,U8946@DOM1,C17693,C9945
727798,U8946@DOM1,C17693,C9945
727888,U8946@DOM1,C17693,C9945
728106,U4978@DOM1,C17693,C1448
728138,U8946@DOM1,C17693,C9945
728800,U3905@DOM1,C17693,C9945
729056,U995@DOM1,C17693,C1014
730430,U8601@DOM1,C17693,C20819
730524,U8601@DOM1,C17693,C20819
730889,U8601@DOM1,C17693,C18626
731101,U8601@DOM1,C17693,C18626
731492,U288@DOM1,C17693,C1222
736582,U2837@DOM1,C17693,C89
736894,U2837@DOM1,C17693,C1484
736936,U2837@DOM1,C17693,C8490
737011,U349@DOM1,C17693,C3601
737055,U2837@DOM1,C17693,C1784
737069,U2837@DOM1,C17693,C1784
737075,U2837@DOM1,C17693,C1784
737099,U2837@DOM1,C17693,C2519
737108,U8946@DOM1,C17693,C11194
737301,U2837@DOM1,C17693,C395
737761,U8946@DOM1,C17693,C10577
737908,U8601@DOM1,C17693,C18872
738382,U293@DOM1,C17693,C2597
738711,U293@DOM1,C17693,C2609
738916,U250@DOM1,C17693,C2849
739092,U293@DOM1,C17693,C3422
739214,U293@DOM1,C17693,C3153
739398,U293@DOM1,C17693,C42
739706,U1600@DOM1,C17693,C92
739734,U1600@DOM1,C17693,C16088
740104,U1600@DOM1,C17693,C92
740912,U349@DOM1,C17693,C886
740920,U349@DOM1,C17693,C886
741010,U8601@DOM1,C17693,C10817
741190,U4353@DOM1,C17693,C15232
741544,U349@DOM1,C17693,C801
741971,U4856@DOM1,C17693,C1015
743030,U5087@DOM1,C17693,C1448
743134,U5087@DOM1,C17693,C359
743223,U5087@DOM1,C17693,C21963
743232,U5087@DOM1,C17693,C359
743403,U5087@DOM1,C17693,C21963
743411,U5087@DOM1,C17693,C21963
743502,U5087@DOM1,C17693,C1268
743509,U5087@DOM1,C17693,C353
743733,U9763@DOM1,C17693,C353
743965,U9763@DOM1,C17693,C21814
744145,U5087@DOM1,C17693,C21814
744215,U795@DOM1,C17693,C10005
744255,U5087@DOM1,C17693,C353
744902,U9947@DOM1,C17693,C20966
745795,U9947@DOM1,C17693,C853
745961,U9947@DOM1,C17693,C853
746039,U9947@DOM1,C17693,C853
746078,U9947@DOM1,C17693,C923
746151,U882@DOM1,C17693,C11039
746353,U882@DOM1,C17693,C1616
746387,U8777@C583,C17693,C583
746595,U882@DOM1,C17693,C1616
746638,U9947@DOM1,C17693,C346
746860,U9947@DOM1,C17693,C20203
747001,U1450@DOM1,C17693,C12448
747145,U9947@DOM1,C17693,C20203
747163,U1450@DOM1,C17693,C12448
747229,U8777@C583,C17693,C583
747247,U8777@C1500,C17693,C1500
747259,U1450@DOM1,C17693,C12448
747388,U9947@DOM1,C17693,C346
747457,U9947@DOM1,C17693,C1479
747478,U8777@C3388,C17693,C3388
747653,U1450@DOM1,C17693,C12448
747939,U374@DOM1,C17693,C1461
748041,U1450@DOM1,C17693,C1119
748127,U2575@DOM1,C17693,C19156
748207,U2575@DOM1,C17693,C19156
748272,U1450@DOM1,C17693,C18113
748397,U374@DOM1,C17693,C1461
748428,U1450@DOM1,C17693,C18113
748806,U9947@DOM1,C17693,C19803
748860,U9947@DOM1,C17693,C17425
749000,U9947@DOM1,C17693,C19803
749054,U9947@DOM1,C17693,C19803
749816,U3718@DOM1,C17693,C9692
749823,U9947@DOM1,C17693,C7131
750304,U2575@DOM1,C17693,C8172
750307,U342@DOM1,C17693,C7503
750419,U342@DOM1,C17693,C7503
751373,U737@DOM1,C17693,C7597
751918,U737@DOM1,C17693,C2578
752606,U6572@DOM1,C17693,C90
752613,U737@DOM1,C17693,C21814
752892,U2575@DOM1,C17693,C1477
753250,U9763@DOM1,C17693,C21814
753336,U162@DOM1,C17693,C4845
754096,U162@DOM1,C17693,C3292
754601,U2575@DOM1,C17693,C7597
754921,U314@DOM1,C17693,C2914
